y,U_ML_0,U_ML_1,U_ML_2
0,0,0,0
1.16106e-05,-0.0960721,0.000305591,0
2.56565e-05,-0.168644,0.000978955,0
4.26602e-05,-0.250082,0.0024183,2.84881e-21
6.32576e-05,-0.347964,0.00498229,-3.22101e-22
8.82233e-05,-0.465717,0.00915256,8.67067e-21
0.000118501,-0.607584,0.0156563,-1.2792e-21
0.00015524,-0.778056,0.0254959,-4.18484e-20
0.000199841,-0.98078,0.0400114,7.42432e-20
0.000254011,-1.21636,0.0608617,-4.71332e-20
0.000319833,-1.47968,0.0897475,-7.54588e-20
0.000399843,-1.7608,0.128155,2.20984e-19
0.000497136,-2.04883,0.177449,3.68163e-21
0.000615486,-2.33237,0.238852,-1.10904e-19
0.000759498,-2.59564,0.313004,-2.34834e-20
0.000934787,-2.81628,0.399628,-3.23778e-20
0.00114821,-2.97084,0.496796,2.28633e-20
0.00140812,-3.0483,0.601771,0
0.00172472,-3.05196,0.714075,0
0.00211046,-2.98664,0.834416,-4.91345e-20
0.00258055,-2.85108,0.962066,4.01197e-20
0.00315353,-2.6368,1.09472,1.43809e-18
0.00385204,-2.33228,1.22722,7.29368e-19
0.00470373,-1.93053,1.35116,-1.22151e-18
0.00574233,-1.48706,1.44289,-7.50109e-19
0.00657366,-1.08002,1.48764,-1.11132e-18
0.00729408,-0.720573,1.49527,3.09586e-19
0.0079201,-0.394893,1.47515,1.1159e-18
0.00846603,-0.08975,1.43377,-2.55462e-19
0.00894425,0.213309,1.37489,-1.32705e-20
0.00936552,0.538182,1.29969,2.91904e-18
0.00973924,0.913864,1.20788,-6.99954e-20
0.0100736,1.37645,1.09839,-4.31921e-18
0.010376,1.97118,0.969219,2.69246e-18
0.0106528,2.73636,0.820577,4.48878e-19
0.0108964,3.67974,0.657624,-1.31567e-18
0.0111152,4.79117,0.486422,1.11675e-18
0.0113126,6.05801,0.311614,-6.66401e-19
0.0114918,7.46169,0.137726,4.49832e-20
0.0116552,8.97915,-0.0308914,-9.57999e-19
0.0118052,10.5845,-0.190452,-6.32941e-20
0.0119436,12.2519,-0.338084,4.08201e-19
0.012072,13.9512,-0.471282,2.98195e-20
0.0121919,15.6471,-0.587902,0
0.0123044,17.3161,-0.687423,-1.43731e-19
0.0124107,18.9471,-0.77053,7.23468e-20
0.0125116,20.5292,-0.838232,1.78481e-19
0.0126078,22.0506,-0.89199,-7.36821e-20
0.0127,23.4841,-0.933313,-7.04817e-20
0.0127846,24.8442,-0.965137,1.30695e-21
0.0128776,26.2167,-0.991045,1.88686e-19
0.0129804,27.6386,-1.01219,-9.51677e-21
0.0130945,29.0781,-1.02835,7.16379e-21
0.0132214,30.495,-1.03976,3.11191e-20
0.0133634,31.848,-1.04732,-8.01031e-19
0.0135229,33.0979,-1.05288,-3.90883e-19
0.0137028,34.2073,-1.0592,9.31571e-19
0.0139066,35.1589,-1.069,3.52787e-19
0.0141385,35.9798,-1.08365,2.5887e-19
0.0144035,36.7212,-1.10305,-4.08242e-19
0.0147076,37.4215,-1.12613,-1.45689e-19
0.0150582,38.1045,-1.15165,5.15052e-19
0.0154839,38.788,-1.1787,-3.58605e-19
0.0159788,39.4744,-1.20634,-8.90552e-21
0.0165559,40.1607,-1.23404,4.55615e-21
0.0172308,40.8498,-1.26173,-5.25267e-19
0.0180222,41.5446,-1.2891,-4.85402e-19
