y,U_ML_0,U_ML_1,U_ML_2,U_KO_0,U_KO_1,U_KO_2
0,0,0,0,0,0,0
1.15903e-05,-1.29295,0.000107219,-1.89109e-22,-1.2064,5.12686e-05,-1.92587e-22
2.51959e-05,-2.6806,0.000119469,-1.97361e-21,-2.50159,-0.000106489,-1.97973e-21
4.11938e-05,-4.20865,8.0086e-05,7.76041e-21,-3.91239,-0.000600144,7.1559e-21
6.0036e-05,-5.86682,-0.00017928,2.93475e-21,-5.33674,-0.0017053,2.86908e-21
8.22644e-05,-7.30841,-0.0016908,4.24418e-21,-6.54116,-0.00388648,5.59578e-21
0.00010853,-8.17346,-0.00471958,1.4112e-20,-7.35008,-0.00742175,1.53726e-20
0.000139617,-8.61437,-0.00912694,-9.04537e-21,-7.81207,-0.0123564,-9.20595e-21
0.000176466,-8.86762,-0.0153323,-8.36453e-21,-8.06346,-0.0187995,-9.20951e-21
0.000220213,-9.01502,-0.0234397,1.18754e-20,-8.19583,-0.0269662,1.00961e-20
0.000272229,-9.08301,-0.0336496,1.25012e-21,-8.25506,-0.0371305,1.18647e-21
0.000334164,-9.0844,-0.0462574,-6.71961e-21,-8.26305,-0.0496355,-5.24359e-21
0.000408017,-9.02864,-0.0617321,2.71478e-20,-8.23002,-0.0649186,2.16864e-20
0.000496201,-8.92237,-0.0807129,-4.43478e-20,-8.16009,-0.08353,-3.67053e-20
0.000601635,-8.76925,-0.103977,-4.42363e-20,-8.05363,-0.106153,-3.55489e-20
0.000727854,-8.56981,-0.132588,4.08006e-20,-7.90826,-0.133629,3.47262e-20
0.000879141,-8.32218,-0.167881,1.35406e-20,-7.71911,-0.166996,1.18828e-20
0.00106069,-8.02249,-0.211218,4.334e-20,-7.47855,-0.207538,4.08248e-20
0.00127878,-7.66076,-0.264279,-8.02352e-20,-7.17556,-0.256852,-7.76577e-20
0.00154107,-7.21736,-0.329634,1.15273e-19,-6.79452,-0.316949,1.13371e-19
0.00185682,-6.66706,-0.41013,1.6186e-19,-6.31345,-0.390402,1.55877e-19
0.0022373,-5.97952,-0.508953,1.52366e-19,-5.70115,-0.480594,1.52621e-19
0.00269619,-5.1076,-0.631206,-3.08838e-19,-4.913,-0.59211,-3.09589e-19
0.00325013,-3.97853,-0.784122,-2.38658e-19,-3.88466,-0.731026,-2.39289e-19
0.00391934,-2.61913,-0.959759,8.67135e-20,-2.64144,-0.890571,8.65206e-20
0.00447964,-1.21527,-1.13288,-8.4124e-20,-1.35399,-1.04832,-8.39733e-20
0.00498729,0.146285,-1.29485,3.87191e-19,-0.103679,-1.1961,3.86047e-19
0.00545308,1.50137,-1.45157,-2.37028e-19,1.14056,-1.33864,-2.38291e-19
0.0058867,2.87227,-1.60622,-2.51133e-19,2.40539,-1.47894,-2.47451e-19
0.00629695,4.28491,-1.76159,-1.1535e-21,3.72847,-1.62073,-4.74094e-21
0.00669189,5.76029,-1.91927,4.32216e-21,5.13066,-1.76565,5.50204e-21
0.00707907,7.3173,-2.08056,-6.37145e-21,6.61595,-1.91362,-5.45309e-21
0.00746565,8.97421,-2.2469,3.95978e-19,8.18916,-2.06461,4.06031e-19
0.00785851,10.7452,-2.41921,6.64396e-19,9.8646,-2.21904,6.81978e-19
0.00826444,12.5859,-2.59277,-1.25302e-19,11.6139,-2.37339,-1.30908e-19
