y,nut_ML,nut_KO
0,0,0
1.15767e-05,0,1.15437e-09
2.48888e-05,0,3.43673e-08
4.02163e-05,0,4.01398e-07
5.78882e-05,0,2.6724e-06
7.82917e-05,0,1.12227e-05
0.000101883,0,3.2046e-05
0.000129201,3.27864e-06,6.92182e-05
0.000160882,2.18104e-05,0.000124476
0.000197681,5.60183e-05,0.000199251
0.000240493,0.00010192,0.000295656
0.000290379,0.000173687,0.000416578
0.000348605,0.00028567,0.000565574
0.000416677,0.00043871,0.00074674
0.000496392,0.000632241,0.000964534
0.000589899,0.000875651,0.0012235
0.000699764,0.00117791,0.00152789
0.000829066,0.00154356,0.00188101
0.000981493,0.00197165,0.00228437
0.00116147,0.00245275,0.00273659
0.00137434,0.00298488,0.00323199
0.00162648,0.00357186,0.00375924
0.00192562,0.00418638,0.0043001
0.00228106,0.00475561,0.00482905
0.00270401,0.00522592,0.00528559
0.00308362,0.00557633,0.00562024
0.00344943,0.00580841,0.00584959
0.0038084,0.00595982,0.00600333
0.00416715,0.00605605,0.00609739
0.00453208,0.00608917,0.00614171
0.00490948,0.00604358,0.00613663
0.00530563,0.0059051,0.00599162
0.00572698,0.00566872,0.00570295
0.00618017,0.00536052,0.00537005
0.00667222,0.00503253,0.00502752
0.0071306,0.00472417,0.00471505
0.00758188,0.00444382,0.00443923
0.00802708,0.00419097,0.00418113
0.00846704,0.00395312,0.00393618
0.00890252,0.00372377,0.00370612
0.00933414,0.00351287,0.00349468
0.00976245,0.00333485,0.00330509
0.0101879,0.00318889,0.0031402
0.0106109,0.00305444,0.00299995
0.0110319,0.00291834,0.0028758
0.011451,0.00276765,0.00275339
0.0118686,0.00259863,0.00261932
0.0122849,0.00242239,0.00245667
0.0127,0.00225649,0.0022872
0.0130748,0.00213044,0.00215626
0.0134728,0.00204366,0.00207236
0.0138957,0.001976,0.00203126
0.0143452,0.00193489,0.00201378
0.0148233,0.00192006,0.00200122
0.0153318,0.00192493,0.00199345
0.0158732,0.00194674,0.00198725
0.0164499,0.00196984,0.00197826
0.0170647,0.00197917,0.00196474
0.0177206,0.00197525,0.00194716
0.018421,0.00196254,0.00192843
0.0191698,0.00194143,0.00193258
0.0199712,0.00191308,0.00194682
0.0209503,0.00185923,0.00191044
0.0220143,0.0017585,0.00180675
0.0231718,0.00162745,0.00166172
0.0244326,0.00148787,0.00149516
0.0258078,0.00131277,0.00131149
0.0273099,0.00109427,0.0011135
0.0289533,0.000874402,0.000904971
0.0307544,0.000681592,0.000691945
0.0327322,0.000513936,0.000484508
0.0349085,0.000351787,0.000298224
0.0373085,0.000201786,0.000151877
0.0399613,8.73173e-05,5.84761e-05
0.0429011,2.89316e-05,1.46786e-05
0.0461675,1.6262e-05,1.78731e-06
0.0498071,1.59676e-05,5.20411e-08
0.0538744,1.16257e-05,9.9473e-09
0.0584337,3.22076e-06,2.60945e-08
0.0631441,6.77423e-07,1.05274e-07
0.0680914,6.1915e-06,5.20466e-07
0.0732937,1.65229e-05,2.91051e-06
0.0787704,3.54174e-05,1.74291e-05
0.0845614,9.86196e-05,9.95538e-05
0.0903998,0.000355046,0.000364189
0.0945097,0.000824017,0.000818571
0.0979158,0.00135297,0.00135736
0.100739,0.00180965,0.00183619
0.103078,0.00216232,0.0022127
0.105017,0.00240316,0.00246406
0.106624,0.00248229,0.00253671
0.107956,0.00241204,0.00245605
0.10906,0.00222981,0.00227481
0.109974,0.00197099,0.00204069
0.110733,0.00168941,0.00178574
0.111361,0.0014233,0.00153326
0.111882,0.00118797,0.00129907
0.112314,0.000969092,0.00108843
0.112671,0.000761846,0.000902328
0.112968,0.000582482,0.000739942
0.113214,0.000433323,0.000599627
0.113417,0.000308944,0.000479404
0.113586,0.000210222,0.000377235
0.113726,0.000139172,0.000291148
0.113842,9.30834e-05,0.0002193
0.113938,6.3393e-05,0.000160001
0.114018,4.23671e-05,0.000111735
0.114084,2.64403e-05,7.31168e-05
0.114139,1.37073e-05,4.29115e-05
0.114184,3.98953e-06,2.07618e-05
0.114222,0,6.8555e-06
0.114253,0,1.01726e-06
0.114279,0,3.84155e-08
0.1143,0,0
