y,nut_ML,nut_RNG
0,0,0
1.16106e-05,0,1.54872e-07
2.56565e-05,0,1.67859e-06
4.26602e-05,0,7.20082e-06
6.32576e-05,0,1.83972e-05
8.82233e-05,3.22241e-07,3.4905e-05
0.000118501,5.96747e-06,5.61085e-05
0.00015524,2.0351e-05,8.19702e-05
0.000199841,4.23046e-05,0.000112816
0.000254011,7.38922e-05,0.000149149
0.000319833,0.000116376,0.00019157
0.000399843,0.000168406,0.000240731
0.000497136,0.000230029,0.000297324
0.000615486,0.000302132,0.000362053
0.000759498,0.000383085,0.000435635
0.000934787,0.000470035,0.000518778
0.00114821,0.000561967,0.000612153
0.00140812,0.000658407,0.000716318
0.00172472,0.000765608,0.000831529
0.00211046,0.000895534,0.000957344
0.00258055,0.00104212,0.00109183
0.00315353,0.00119669,0.00123017
0.00385204,0.00133482,0.00136227
0.00470373,0.00143873,0.00146918
0.00574233,0.00153826,0.0015176
0.00657366,0.0015513,0.0014963
0.00729408,0.00144605,0.00142144
0.0079201,0.00131893,0.00130575
0.00846603,0.00117674,0.00116453
0.00894425,0.00102589,0.0010189
0.00936552,0.000904565,0.000894739
0.00973924,0.000831358,0.000813996
0.0100736,0.000823488,0.00078535
0.010376,0.00086878,0.000802429
0.0106528,0.000929581,0.000848942
0.0108964,0.000984601,0.000907599
0.0111152,0.00102313,0.000966498
0.0113126,0.00104507,0.00101944
0.0114918,0.00105832,0.00106378
0.0116552,0.00106876,0.00109892
0.0118052,0.00107855,0.0011253
0.0119436,0.00108826,0.00114381
0.012072,0.00109757,0.00115551
0.0121919,0.00110554,0.00116138
0.0123044,0.00111181,0.00116233
0.0124107,0.00111687,0.00115921
0.0125116,0.00112115,0.00115281
0.0126078,0.00112513,0.00114388
0.0127,0.00112907,0.00113322
0.0127846,0.00113245,0.00112129
0.0128776,0.00113463,0.00110763
0.0129804,0.00113618,0.0010921
0.0130945,0.00113868,0.00107567
0.0132214,0.00114399,0.00106042
0.0133634,0.00115559,0.00105028
0.0135229,0.0011772,0.00105178
0.0137028,0.00120967,0.00107454
0.0139066,0.00125493,0.00113046
0.0141385,0.00132312,0.00123082
0.0144035,0.00143761,0.00138211
0.0147076,0.00162054,0.00158308
0.0150582,0.00186379,0.00182853
0.0154839,0.00213655,0.00210991
0.0159788,0.00242891,0.00241386
0.0165559,0.0027601,0.00272996
0.0172308,0.00312442,0.0030524
0.0180222,0.00344249,0.00337459
0.0189526,0.00368963,0.00368589
0.0200493,0.00392546,0.00396884
0.0213448,0.00414753,0.0041967
0.0228785,0.00427467,0.0043309
0.0246978,0.00427206,0.0043182
0.0268599,0.00403411,0.00408886
0.0294337,0.00343743,0.00356101
0.0325023,0.00253292,0.00267155
0.0361662,0.00142659,0.00149179
0.0405466,0.000480141,0.000463576
0.0457897,6.12054e-05,3.69309e-05
0.0520723,0,1.90845e-07
0.058149,0,9.85004e-09
0.0642652,0,1.22668e-07
0.070424,1.84485e-06,1.62736e-06
0.0766284,3.59787e-05,2.04309e-05
0.0829487,0.000285677,0.00022263
0.0883767,0.00122526,0.00114409
0.0927677,0.00273714,0.00269505
0.0964184,0.00396324,0.00393744
0.0994537,0.00452889,0.00453063
0.101977,0.00468101,0.00470474
0.104075,0.00458207,0.00460782
0.10582,0.0042913,0.00434537
0.10727,0.00393958,0.00399151
0.108476,0.00356128,0.00359668
0.109478,0.00316929,0.00319384
0.110312,0.00279337,0.00280344
0.111005,0.00242441,0.00243733
0.111581,0.00207765,0.00210162
0.11206,0.00177782,0.00179872
0.112458,0.00151961,0.00152877
0.11279,0.00128469,0.00129055
0.113065,0.00106573,0.00108204
0.113294,0.00087202,0.000900792
0.113484,0.000707016,0.000744196
0.113643,0.000567745,0.00060959
0.113774,0.000451008,0.000494385
0.113884,0.000352988,0.000396126
0.113975,0.000271716,0.000312531
0.11405,0.000206069,0.000241505
0.114113,0.000153278,0.00018115
0.114165,0.000110909,0.000129734
0.114209,7.75855e-05,8.56481e-05
0.114245,5.1423e-05,4.72653e-05
0.114275,2.73636e-05,1.50698e-05
0.1143,0,0
