y,U_ML_0,U_ML_1,U_ML_2,U_RNG_0,U_RNG_1,U_RNG_2
0,0,0,0,0,0,0
1.15767e-05,0.84382,-0.00201532,-1.81892e-22,0.31479,-0.000535281,-5.2352e-25
2.48888e-05,1.48769,-0.00498782,1.3196e-22,0.574101,-0.00234949,-3.04832e-24
4.02163e-05,1.97062,-0.00785646,-5.21964e-22,0.747803,-0.00517652,-2.30233e-24
5.78882e-05,2.33874,-0.0110356,-2.73439e-22,0.868572,-0.0088482,1.62298e-24
7.82917e-05,2.6431,-0.0151635,5.56614e-22,0.965408,-0.0135137,1.14859e-24
0.000101883,2.9078,-0.0207698,-1.10435e-21,1.05109,-0.0193011,-1.04666e-23
0.000129201,3.14277,-0.0281753,5.39773e-22,1.13188,-0.0263553,-1.65367e-23
0.000160882,3.35485,-0.037684,-3.21288e-21,1.21145,-0.0348738,-4.68524e-23
0.000197681,3.5511,-0.0497087,-2.07508e-21,1.2924,-0.0451079,3.63104e-23
0.000240493,3.73803,-0.0647691,3.82694e-21,1.37686,-0.057365,-3.90573e-23
0.000290379,3.92095,-0.0834573,7.23298e-21,1.46679,-0.0720155,4.34309e-23
0.000348605,4.10446,-0.106451,-1.14303e-21,1.5642,-0.0895042,1.40078e-22
0.000416677,4.29308,-0.134547,-5.95153e-21,1.67129,-0.110365,-6.85843e-23
0.000496392,4.49169,-0.16869,-9.18109e-21,1.79057,-0.135236,2.53658e-23
0.000589899,4.70554,-0.210015,-3.71598e-22,1.92504,-0.164883,1.26756e-24
0.000699764,4.94026,-0.259875,5.43631e-21,2.07838,-0.20022,4.6335e-22
0.000829066,5.20182,-0.319785,-1.56891e-22,2.25514,-0.242336,3.09372e-24
0.000981493,5.49742,-0.391394,3.30243e-20,2.46105,-0.292531,-1.29376e-22
0.00116147,5.83736,-0.476736,1.83755e-22,2.70352,-0.352348,-1.14191e-24
0.00137434,6.23569,-0.578394,-2.82435e-20,2.99213,-0.423609,-4.05223e-22
0.00162648,6.70885,-0.699034,1.26292e-19,3.33953,-0.50847,-2.45642e-21
0.00192562,7.27695,-0.841262,7.1947e-20,3.76262,-0.609447,-1.66311e-21
0.00228106,7.96965,-1.00839,-7.07731e-20,4.28423,-0.72936,1.86207e-21
0.00270401,8.76858,-1.1906,2.90869e-20,4.88901,-0.861269,1.51881e-22
0.00308362,9.59063,-1.36604,4.489e-20,5.51445,-0.98964,-1.26414e-21
0.00344943,10.407,-1.5287,-1.77739e-19,6.14029,-1.11032,7.49664e-21
0.0038084,11.2428,-1.68423,8.74032e-20,6.78545,-1.22727,-6.66806e-21
0.00416715,12.1125,-1.83527,-8.70971e-20,7.46146,-1.34239,5.20004e-21
0.00453208,13.03,-1.98383,-1.66704e-19,8.18141,-1.45744,8.2994e-21
0.00490948,14.0103,-2.13174,9.42355e-20,8.96016,-1.57392,-4.14983e-21
0.00530563,15.0707,-2.28036,-2.06194e-20,9.8147,-1.69315,2.77243e-21
0.00572698,16.2318,-2.43046,1.86564e-19,10.7644,-1.81616,-1.38807e-20
0.00618017,17.5155,-2.58219,-6.84857e-20,11.8313,-1.94363,5.61903e-21
0.00667222,18.8883,-2.72922,-7.14595e-20,12.9944,-2.07084,3.08515e-21
0.0071306,20.2645,-2.86232,7.07596e-20,14.1865,-2.18973,-5.38952e-21
0.00758188,21.6184,-2.98067,-6.62263e-20,15.3889,-2.29892,7.03127e-21
0.00802708,22.9636,-3.0866,-2.22101e-20,16.6148,-2.40016,1.59478e-21
0.00846704,24.296,-3.18057,4.56476e-20,17.861,-2.49347,-3.90769e-21
0.00890252,25.6099,-3.26299,6.81546e-20,19.1237,-2.57885,-5.72001e-21
0.00933414,26.8954,-3.33426,-4.36645e-22,20.3978,-2.65631,1.46405e-23
0.00976245,28.1435,-3.39495,-2.4171e-20,21.6775,-2.72584,7.2454e-22
0.0101879,29.3483,-3.4456,0,22.9555,-2.7875,0
0.0106109,30.5033,-3.48662,0,24.2232,-2.84137,0
0.0110319,31.5987,-3.51855,-5.57934e-21,25.4709,-2.88764,1.23658e-21
0.011451,32.6231,-3.54244,1.21775e-20,26.6873,-2.92657,-1.78813e-21
0.0118686,33.5658,-3.5595,5.41759e-21,27.8599,-2.95855,-1.22305e-21
0.0122849,34.42,-3.57084,-1.23393e-20,28.9762,-2.98407,1.80179e-21
0.0127,35.1716,-3.57717,1.43999e-21,30.0057,-3.00341,-3.96808e-22
0.0130748,35.8186,-3.57943,-9.30193e-21,30.9297,-3.01749,1.5258e-21
