y,U_ML_0,U_ML_1,U_ML_2,U_RNG_0,U_RNG_1,U_RNG_2
0.0127,0,0,0,0,0,0
0.0127265,7.9125,0.000449608,0,6.85233,-9.66507e-05,0
0.0127586,11.0262,0.0011105,0,10.6753,-0.000262203,0
0.0127974,13.851,0.00264474,0,13.1171,-0.00051656,0
0.0128443,16.6467,0.00530417,0,15.0499,-0.000879195,0
0.0129011,19.3754,0.00940052,0,16.7233,-0.00137188,0
0.0129698,21.9916,0.0150971,0,18.2411,-0.00202065,0
0.0130528,24.4358,0.0221144,0,19.6575,-0.00285849,0
0.0131533,26.6516,0.0298122,0,21.0048,-0.00392475,0
0.0132749,28.6213,0.0375704,0,22.3038,-0.0052651,0
0.013422,30.363,0.0450656,0,23.5687,-0.00693194,0
0.0136,31.9084,0.0522022,0,24.8102,-0.00898485,0
0.0138152,33.2984,0.0588721,0,26.0363,-0.011491,0
0.0140756,34.5731,0.0648741,0,27.254,-0.0145251,0
0.0143906,35.753,0.0699271,0,28.4691,-0.0181698,0
0.0147717,36.8455,0.0737309,0,29.6872,-0.0225152,0
0.0152327,37.8661,0.0760336,0,30.9138,-0.027658,0
0.0157904,38.836,0.0765244,0,32.1549,-0.0337007,0
0.0164651,39.7655,0.0748531,0,33.4164,-0.040749,0
0.0172812,40.6528,0.0707867,0,34.7052,-0.0489075,0
0.0182685,41.4951,0.0641511,0,36.0289,-0.058272,0
0.0194629,42.297,0.0547691,0,37.3962,-0.0689159,0
0.0209078,43.067,0.0422762,0,38.8165,-0.0808654,0
0.0226557,43.8086,0.0264248,0,40.3002,-0.0940653,0
0.0247702,44.524,0.00708073,0,41.8571,-0.10831,0
0.0273281,45.2154,-0.0159118,0,43.494,-0.123006,0
0.0304226,45.8732,-0.0426686,0,45.2023,-0.13794,0
0.034166,46.4572,-0.0725057,0,46.9154,-0.14954,0
0.0386945,46.8095,-0.107224,0,48.073,-0.165053,0
0.0441728,46.8809,-0.146044,0,48.3827,-0.190603,0
0.0508,46.8423,-0.182026,0,48.3577,-0.21531,0
0.05715,46.7967,-0.209232,0,48.3157,-0.232712,0
0.0635,46.7528,-0.227933,0,48.2752,-0.243706,0
0.06985,46.7113,-0.239446,0,48.2371,-0.248823,0
0.0762,46.6723,-0.244402,0,48.2009,-0.24835,0
0.0826262,46.6135,-0.244043,0,48.1418,-0.243739,0
0.0879721,46.3299,-0.235887,0,47.7652,-0.231175,0
0.0924193,45.5211,-0.215465,0,46.5928,-0.202473,0
0.0961189,44.3284,-0.189657,0,44.8896,-0.168338,0
0.0991966,43.0742,-0.166364,0,43.1852,-0.140359,0
0.101757,41.8403,-0.145867,0,41.552,-0.116773,0
0.103887,40.6448,-0.128082,0,39.9977,-0.0972081,0
0.105659,39.487,-0.112434,0,38.516,-0.0809198,0
0.107133,38.3588,-0.0984695,0,37.0975,-0.0673026,0
0.108359,37.2529,-0.085983,0,35.7325,-0.0558854,0
0.109379,36.1661,-0.0747409,0,34.4125,-0.0462881,0
0.110228,35.0967,-0.0644919,0,33.13,-0.03821,0
0.110934,34.0363,-0.0548901,0,31.8785,-0.0314105,0
0.111521,32.9718,-0.0456478,0,30.6524,-0.0256943,0
0.11201,31.8953,-0.036669,0,29.4466,-0.0209001,0
0.112416,30.806,-0.0281014,0,28.2567,-0.0168922,0
0.112754,29.7001,-0.0202309,0,27.0778,-0.0135551,0
0.113035,28.5636,-0.0133221,0,25.9055,-0.0107895,0
0.113269,27.3799,-0.00757987,0,24.7348,-0.0085095,0
0.113464,26.139,-0.0031328,0,23.5599,-0.00664064,0
0.113626,24.8345,5.15071e-07,0,22.3744,-0.00511858,0
0.113761,23.4552,0.00190994,0,21.1699,-0.00388775,0
0.113873,21.9824,0.00276391,0,19.9359,-0.0029004,0
0.113966,20.3933,0.0027848,0,18.6579,-0.00211566,0
0.114043,18.6663,0.00222975,0,17.3153,-0.00149868,0
0.114108,16.7771,0.00137641,0,15.8762,-0.00102006,0
0.114162,14.6785,0.000484418,0,14.2872,-0.000655537,0
0.114206,12.2878,-0.000251932,0,12.4461,-0.000386214,0
0.114243,9.46125,-0.000642991,0,10.106,-0.000196026,0
0.114274,5.86108,-0.000214743,0,6.4379,-7.14985e-05,0
0.1143,0,0,0,0,0,0
