y,nut_ML,nut_RNG
0.0127,0,0
0.0127265,4.91146e-05,1.72305e-05
0.0127586,7.62864e-05,5.20634e-05
0.0127974,9.53284e-05,9.20179e-05
0.0128443,0.000119448,0.000137783
0.0129011,0.000150168,0.000191151
0.0129698,0.000190412,0.000253889
0.0130528,0.00024656,0.000327935
0.0131533,0.000325327,0.000415481
0.0132749,0.000429563,0.000519014
0.013422,0.000562374,0.00064133
0.0136,0.000724692,0.00078553
0.0138152,0.000907163,0.00095495
0.0140756,0.00110963,0.00115305
0.0143906,0.0013519,0.0013832
0.0147717,0.00163438,0.00164831
0.0152327,0.00192699,0.00195027
0.0157904,0.00222675,0.0022892
0.0164651,0.00256672,0.00266222
0.0172812,0.00296623,0.00306183
0.0182685,0.00340673,0.00347367
0.0194629,0.00382799,0.00387346
0.0209078,0.00418292,0.0042229
0.0226557,0.00445283,0.00446438
0.0247702,0.00448001,0.00451412
0.0273281,0.00414155,0.00425361
0.0304226,0.00335996,0.00351896
0.034166,0.00201818,0.0020638
0.0386945,0.000697831,0.000591287
0.0441728,0.00011552,3.2426e-05
0.0508,1.99637e-05,1.6141e-07
0.05715,5.79551e-07,6.92753e-10
0.0635,8.20702e-07,3.84619e-10
0.06985,1.03648e-05,2.56513e-08
0.0762,2.98369e-05,1.32871e-06
0.0826262,0.000159659,4.94584e-05
0.0879721,0.000828969,0.000608848
0.0924193,0.00218501,0.00204596
0.0961189,0.00348734,0.00348432
0.0991966,0.00422223,0.00423806
0.101757,0.00451283,0.00453032
0.103887,0.00449052,0.00451543
0.105659,0.00426166,0.00430676
0.107133,0.00392025,0.00398534
0.108359,0.0035283,0.00360752
0.109379,0.00313428,0.00321129
0.110228,0.00276112,0.00282116
0.110934,0.00239541,0.00245206
0.111521,0.00205055,0.00211224
0.11201,0.00175039,0.00180544
0.112416,0.00149414,0.00153246
0.112754,0.00126148,0.00129229
0.113035,0.00104135,0.00108281
0.113269,0.000843494,0.000901372
0.113464,0.000675762,0.000745076
0.113626,0.000534835,0.000611027
0.113761,0.000416176,0.000496445
0.113873,0.000317491,0.000398738
0.113966,0.000237738,0.000315545
0.114043,0.00017572,0.000244733
0.114108,0.000127662,0.000184395
0.114162,8.9567e-05,0.000132814
0.114206,5.96326e-05,8.83953e-05
0.114243,3.61624e-05,4.95064e-05
0.114274,1.69713e-05,1.61136e-05
0.1143,0,0
